timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
2596553416,2596553274,0.039244115,0.0054513323,-0.015662882,0.5379184,0.0,0.0,0.0,-1.0
2596597475,2596597273,0.04582325,0.006250853,-0.012869956,0.5379199,0.0,0.0,0.0,-1.0
2596637501,2596637275,0.034478147,0.002708942,-0.0076507237,0.5379211,0.0,0.0,0.0,-1.0
2596681409,2596681274,0.05037006,0.005497985,-0.020781584,0.5379223,0.0,0.0,0.0,-1.0
2596721420,2596721280,0.055625577,0.0035319282,-0.027665462,0.53792334,0.0,0.0,0.0,-1.0
2596765452,2596765274,0.03820261,0.0008531313,-0.025603797,0.5379243,0.0,0.0,0.0,-1.0
2596805442,2596805274,0.03317081,0.0028428677,-0.030285332,0.5379252,0.0,0.0,0.0,-1.0
2596849414,2596849274,0.040824696,0.004758111,-0.02999185,0.5379259,0.0,0.0,0.0,-1.0
2596889407,2596889274,0.036473602,0.0044085523,-0.03144597,0.53792655,0.0,0.0,0.0,-1.0
2596933475,2596933274,0.04540872,0.0034648278,-0.023390517,0.5379271,0.0,0.0,0.0,-1.0
2596973462,2596973274,0.052506752,0.0071292166,-0.020294173,0.53792804,0.0,0.0,0.0,-1.0
2597017418,2597017274,0.044501532,0.008841152,-0.020201404,0.5379276,0.0,0.0,0.0,-1.0
2597057417,2597057280,0.035074092,0.008737172,-0.026120227,0.53792727,0.0,0.0,0.0,-1.0
2597101451,2597101277,0.046732593,0.0065181544,-0.021362875,0.537927,0.0,0.0,0.0,-1.0
2597141450,2597141281,0.048397936,0.003835274,-0.019841824,0.53792673,0.0,0.0,0.0,-1.0
2597181522,2597181274,0.046862457,0.005015716,-0.0042827763,0.53792655,0.0,0.0,0.0,-1.0
2597225412,2597225274,0.049147647,0.009084221,-0.0018462986,0.5379264,0.0,0.0,0.0,-1.0
2597265460,2597265274,0.049344532,0.004336297,-0.013737913,0.53792626,0.0,0.0,0.0,-1.0
2597309504,2597309274,0.02970236,0.0031951284,-0.008050086,0.5379262,0.0,0.0,0.0,-1.0
2597349501,2597349274,0.027244143,0.0046774535,-0.01213659,0.5379262,0.0,0.0,0.0,-1.0
2597393406,2597393274,0.033649866,0.0029110105,-0.022228576,0.5379262,0.0,0.0,0.0,-1.0
